id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,t_reaction,attempt_number,iter,day
18,6,free,1,1,motor,6,6,1,0.533,1,0,8
18,6,free,1,2,motor,4,4,1,0.580,1,0,8
18,6,free,1,3,motor,1,1,1,0.551,1,0,8
18,6,free,1,4,motor,3,3,1,0.560,1,0,8
18,6,free,1,5,motor,5,5,1,0.679,1,0,8
18,6,free,1,6,motor,8,8,1,0.585,1,0,8
18,6,free,1,7,motor,5,5,1,0.531,1,0,8
18,6,free,1,8,motor,8,8,1,0.416,1,0,8
18,6,free,1,9,motor,4,4,1,0.541,1,0,8
18,6,free,1,10,motor,7,7,1,0.631,1,0,8
18,6,free,1,11,motor,6,6,1,0.531,1,0,8
18,6,free,1,12,motor,6,6,1,0.342,1,0,8
18,6,free,1,13,motor,4,4,1,0.484,1,0,8
18,6,free,1,14,motor,5,5,1,0.474,1,0,8
18,6,free,1,15,motor,7,7,1,0.471,1,0,8
18,6,free,1,16,motor,3,3,1,0.539,1,0,8
18,6,free,1,17,motor,4,4,1,0.436,1,0,8
18,6,free,1,18,motor,5,5,1,0.420,1,0,8
18,6,free,1,19,motor,1,1,1,0.461,1,0,8
18,6,free,1,20,motor,5,5,1,0.480,1,0,8
18,6,free,1,21,motor,2,2,1,0.511,1,0,8
18,6,free,1,22,motor,8,8,1,0.468,1,0,8
18,6,free,1,23,motor,1,1,1,0.484,1,0,8
18,6,free,1,24,motor,3,3,1,0.550,1,0,8
18,6,free,1,25,motor,7,7,1,0.638,1,0,8
18,6,free,1,26,motor,2,2,1,0.477,1,0,8
18,6,free,1,27,motor,3,3,1,0.519,1,0,8
18,6,free,1,28,motor,1,1,1,0.406,1,0,8
18,6,free,1,29,motor,8,8,1,0.468,1,0,8
18,6,free,1,30,motor,7,7,1,0.589,1,0,8
18,6,free,1,31,motor,1,1,1,0.527,1,0,8
18,6,free,1,32,motor,2,2,1,0.480,1,0,8
18,6,free,1,33,motor,4,4,1,0.481,1,0,8
18,6,free,1,34,motor,1,1,1,0.506,1,0,8
18,6,free,1,35,motor,7,7,1,0.546,1,0,8
18,6,free,1,36,motor,3,3,1,0.565,1,0,8
18,6,free,1,37,motor,6,7,0,0.440,1,0,8
18,6,free,1,37,motor,6,6,1,0.520,2,0,8
18,6,free,1,38,motor,8,8,1,0.456,1,0,8
18,6,free,1,39,motor,5,5,1,0.483,1,0,8
18,6,free,1,40,motor,5,5,1,0.579,1,0,8
18,6,free,1,41,motor,3,3,1,0.586,1,0,8
18,6,free,1,42,motor,8,8,1,0.625,1,0,8
18,6,free,1,43,motor,3,3,1,0.457,1,0,8
18,6,free,1,44,motor,2,2,1,0.459,1,0,8
18,6,free,1,45,motor,1,1,1,0.368,1,0,8
18,6,free,1,46,motor,4,4,1,0.399,1,0,8
18,6,free,1,47,motor,1,1,1,0.366,1,0,8
18,6,free,1,48,motor,5,5,1,0.401,1,0,8
18,6,free,1,49,motor,2,2,1,0.484,1,0,8
18,6,free,1,50,motor,1,1,1,0.412,1,0,8
18,6,free,1,51,motor,8,8,1,0.510,1,0,8
18,6,free,1,52,motor,7,7,1,0.495,1,0,8
18,6,free,1,53,motor,6,6,1,0.344,1,0,8
18,6,free,1,54,motor,8,8,1,0.402,1,0,8
18,6,free,1,55,motor,6,6,1,0.363,1,0,8
18,6,free,1,56,motor,4,3,0,0.593,1,0,8
18,6,free,1,56,motor,4,4,1,0.298,2,0,8
18,6,free,1,57,motor,1,1,1,0.474,1,0,8
18,6,free,1,58,motor,5,5,1,0.491,1,0,8
18,6,free,1,59,motor,4,4,1,0.368,1,0,8
18,6,free,1,60,motor,3,2,0,0.409,1,0,8
18,6,free,1,60,motor,3,3,1,0.291,2,0,8
18,6,free,1,61,motor,5,5,1,0.450,1,0,8
18,6,free,1,62,motor,7,7,1,0.523,1,0,8
18,6,free,1,63,motor,1,1,1,0.476,1,0,8
18,6,free,1,64,motor,6,6,1,0.465,1,0,8
18,6,free,1,65,motor,8,8,1,0.397,1,0,8
18,6,free,1,66,motor,5,5,1,0.435,1,0,8
18,6,free,1,67,motor,1,1,1,0.494,1,0,8
18,6,free,1,68,motor,6,6,1,0.526,1,0,8
18,6,free,1,69,motor,6,6,1,0.335,1,0,8
18,6,free,1,70,motor,4,4,1,0.519,1,0,8
18,6,free,1,71,motor,2,2,1,0.465,1,0,8
18,6,free,1,72,motor,1,1,1,0.363,1,0,8
18,6,free,1,73,motor,1,1,1,0.384,1,0,8
18,6,free,1,74,motor,7,6,0,0.506,1,0,8
18,6,free,1,74,motor,7,7,1,0.202,2,0,8
18,6,free,1,75,motor,7,7,1,0.729,1,0,8
18,6,free,1,76,motor,1,1,1,0.542,1,0,8
18,6,free,1,77,motor,3,3,1,0.554,1,0,8
18,6,free,1,78,motor,7,6,0,0.518,1,0,8
18,6,free,1,78,motor,7,7,1,0.329,2,0,8
18,6,free,1,79,motor,4,4,1,0.565,1,0,8
18,6,free,1,80,motor,5,5,1,0.435,1,0,8
18,6,free,1,81,motor,2,2,1,0.495,1,0,8
18,6,free,1,82,motor,5,5,1,0.431,1,0,8
18,6,free,1,83,motor,6,6,1,0.531,1,0,8
18,6,free,1,84,motor,8,8,1,0.537,1,0,8
18,6,free,1,85,motor,5,5,1,0.426,1,0,8
18,6,free,1,86,motor,3,3,1,0.724,1,0,8
18,6,free,1,87,motor,3,3,1,0.326,1,0,8
18,6,free,1,88,motor,4,4,1,0.415,1,0,8
18,6,free,1,89,motor,1,1,1,0.401,1,0,8
18,6,free,1,90,motor,7,7,1,0.669,1,0,8
18,6,free,1,91,motor,8,8,1,0.451,1,0,8
18,6,free,1,92,motor,4,4,1,0.664,1,0,8
18,6,free,1,93,motor,5,5,1,0.392,1,0,8
18,6,free,1,94,motor,3,3,1,1.118,1,0,8
18,6,free,1,95,motor,4,4,1,0.494,1,0,8
18,6,free,1,96,motor,3,3,1,0.548,1,0,8
18,6,free,1,97,motor,7,7,1,0.628,1,0,8
18,6,free,1,98,motor,3,3,1,0.509,1,0,8
18,6,free,1,99,motor,8,8,1,0.578,1,0,8
18,6,free,1,100,motor,7,7,1,0.504,1,0,8
18,6,free,1,101,motor,3,3,1,0.552,1,0,8
18,6,free,1,102,motor,3,3,1,0.454,1,0,8
18,6,free,1,103,motor,8,8,1,0.573,1,0,8
18,6,free,1,104,motor,3,3,1,0.474,1,0,8
18,6,free,1,105,motor,8,8,1,0.660,1,0,8
18,6,free,1,106,motor,2,2,1,0.580,1,0,8
18,6,free,1,107,motor,7,7,1,0.574,1,0,8
18,6,free,1,108,motor,7,7,1,0.296,1,0,8
18,6,free,1,109,motor,3,3,1,0.470,1,0,8
18,6,free,1,110,motor,2,2,1,0.426,1,0,8
18,6,free,1,111,motor,3,3,1,0.371,1,0,8
18,6,free,1,112,motor,5,5,1,0.507,1,0,8
18,6,free,1,113,motor,8,8,1,0.404,1,0,8
18,6,free,1,114,motor,5,5,1,0.342,1,0,8
18,6,free,1,115,motor,4,4,1,0.423,1,0,8
18,6,free,1,116,motor,6,6,1,0.539,1,0,8
18,6,free,1,117,motor,3,3,1,0.487,1,0,8
18,6,free,1,118,motor,5,5,1,0.492,1,0,8
18,6,free,1,119,motor,5,5,1,0.381,1,0,8
18,6,free,1,120,motor,2,2,1,0.446,1,0,8
18,6,free,1,121,motor,8,8,1,0.407,1,0,8
18,6,free,1,122,motor,8,8,1,0.338,1,0,8
18,6,free,1,123,motor,4,4,1,0.467,1,0,8
18,6,free,1,124,motor,2,2,1,0.475,1,0,8
18,6,free,1,125,motor,8,8,1,0.396,1,0,8
18,6,free,1,126,motor,1,1,1,0.434,1,0,8
18,6,free,1,127,motor,1,1,1,0.427,1,0,8
18,6,free,1,128,motor,4,4,1,0.614,1,0,8
